FICHIER :;c:\Users\gaspard.druenne\Desktop\XP\V_5000_3kg.eposacq
Date :;02/02/2024
Heure :;10:34:32

DESCRIPTION :
ACQUISITION AXE 1 : CoMax
SOLLICITATION en VITESSE avec consigne de 5000 rpm.
170 mesures avec période de 5.0 ms


COMMENTAIRE :
V500
 I 4218 mA

MESURES :
Index;Temps;;Courant Moteur;Vitesse Moteur;
;ms;;mA;rpm;
         0;       0,0;;      3153;         0;
         1;       5,0;;      3153;         0;
         2;      10,0;;      3153;         0;
         3;      15,0;;      3153;         0;
         4;      20,0;;      3153;         0;
         5;      25,0;;      3153;         0;
         6;      30,0;;      3153;         0;
         7;      35,0;;      3153;         0;
         8;      40,0;;      3153;         0;
         9;      45,0;;      3153;         0;
        10;      50,0;;      3153;         0;
        11;      55,0;;      3153;         0;
        12;      60,0;;      3153;         0;
        13;      65,0;;      3153;         0;
        14;      70,0;;      3153;         0;
        15;      75,0;;      3153;         0;
        16;      80,0;;      3153;         0;
        17;      85,0;;      3251;         0;
        18;      90,0;;      4372;         3;
        19;      95,0;;      6401;        20;
        20;     100,0;;      7243;        68;
        21;     105,0;;      7398;       142;
        22;     110,0;;      7445;       234;
        23;     115,0;;      7437;       343;
        24;     120,0;;      7460;       464;
        25;     125,0;;      7454;       598;
        26;     130,0;;      7466;       742;
        27;     135,0;;      7457;       892;
        28;     140,0;;      7466;      1044;
        29;     145,0;;      7482;      1195;
        30;     150,0;;      7467;      1345;
        31;     155,0;;      7470;      1498;
        32;     160,0;;      7469;      1652;
        33;     165,0;;      7458;      1809;
        34;     170,0;;      7448;      1969;
        35;     175,0;;      7446;      2132;
        36;     180,0;;      7457;      2298;
        37;     185,0;;      7467;      2467;
        38;     190,0;;      7461;      2641;
        39;     195,0;;      7451;      2821;
        40;     200,0;;      7473;      3009;
        41;     205,0;;      7419;      3202;
        42;     210,0;;      7155;      3399;
        43;     215,0;;      6710;      3594;
        44;     220,0;;      6254;      3782;
        45;     225,0;;      5878;      3961;
        46;     230,0;;      5567;      4125;
        47;     235,0;;      5372;      4277;
        48;     240,0;;      5215;      4413;
        49;     245,0;;      5040;      4536;
        50;     250,0;;      4956;      4641;
        51;     255,0;;      4843;      4735;
        52;     260,0;;      4873;      4817;
        53;     265,0;;      4810;      4887;
        54;     270,0;;      4703;      4949;
        55;     275,0;;      4634;      4999;
        56;     280,0;;      4445;      5046;
        57;     285,0;;      4294;      5082;
        58;     290,0;;      4134;      5114;
        59;     295,0;;      3992;      5140;
        60;     300,0;;      3881;      5161;
        61;     305,0;;      3756;      5179;
        62;     310,0;;      3682;      5190;
        63;     315,0;;      3630;      5199;
        64;     320,0;;      3609;      5203;
        65;     325,0;;      3539;      5204;
        66;     330,0;;      3562;      5202;
        67;     335,0;;      3562;      5198;
        68;     340,0;;      3620;      5188;
        69;     345,0;;      3722;      5176;
        70;     350,0;;      3797;      5164;
        71;     355,0;;      3931;      5149;
        72;     360,0;;      3993;      5137;
        73;     365,0;;      4077;      5120;
        74;     370,0;;      4198;      5104;
        75;     375,0;;      4272;      5089;
        76;     380,0;;      4408;      5072;
        77;     385,0;;      4491;      5061;
        78;     390,0;;      4491;      5050;
        79;     395,0;;      4523;      5041;
        80;     400,0;;      4485;      5035;
        81;     405,0;;      4515;      5027;
        82;     410,0;;      4501;      5024;
        83;     415,0;;      4478;      5022;
        84;     420,0;;      4398;      5023;
        85;     425,0;;      4324;      5024;
        86;     430,0;;      4282;      5025;
        87;     435,0;;      4224;      5026;
        88;     440,0;;      4208;      5027;
        89;     445,0;;      4195;      5029;
        90;     450,0;;      4166;      5029;
        91;     455,0;;      4108;      5031;
        92;     460,0;;      4070;      5031;
        93;     465,0;;      4117;      5030;
        94;     470,0;;      4119;      5029;
        95;     475,0;;      4163;      5026;
        96;     480,0;;      4144;      5027;
        97;     485,0;;      4165;      5023;
        98;     490,0;;      4183;      5020;
        99;     495,0;;      4217;      5018;
       100;     500,0;;      4248;      5013;
       101;     505,0;;      4276;      5012;
       102;     510,0;;      4267;      5009;
       103;     515,0;;      4298;      5007;
       104;     520,0;;      4268;      5006;
       105;     525,0;;      4282;      5005;
       106;     530,0;;      4271;      5005;
       107;     535,0;;      4285;      5004;
       108;     540,0;;      4237;      5005;
       109;     545,0;;      4235;      5004;
       110;     550,0;;      4241;      5004;
       111;     555,0;;      4254;      5004;
       112;     560,0;;      4267;      5002;
       113;     565,0;;      4260;      5002;
       114;     570,0;;      4254;      5001;
       115;     575,0;;      4265;      5001;
       116;     580,0;;      4273;      5001;
       117;     585,0;;      4283;      5000;
       118;     590,0;;      4267;      5002;
       119;     595,0;;      4261;      5000;
       120;     600,0;;      4217;      5003;
       121;     605,0;;      4202;      5004;
       122;     610,0;;      4218;      5003;
       123;     615,0;;      4215;      5005;
       124;     620,0;;      4222;      5004;
       125;     625,0;;      4197;      5007;
       126;     630,0;;      4146;      5007;
       127;     635,0;;      4150;      5008;
       128;     640,0;;      4108;      5009;
       129;     645,0;;      4133;      5010;
       130;     650,0;;      4126;      5011;
       131;     655,0;;      4130;      5011;
       132;     660,0;;      4100;      5012;
       133;     665,0;;      4108;      5011;
       134;     670,0;;      4112;      5011;
       135;     675,0;;      4101;      5012;
       136;     680,0;;      4128;      5011;
       137;     685,0;;      4070;      5014;
       138;     690,0;;      4054;      5012;
       139;     695,0;;      4052;      5014;
       140;     700,0;;      4001;      5015;
       141;     705,0;;      4018;      5015;
       142;     710,0;;      4009;      5016;
       143;     715,0;;      4021;      5014;
       144;     720,0;;      4029;      5015;
       145;     725,0;;      4001;      5014;
       146;     730,0;;      4015;      5014;
       147;     735,0;;      3980;      5014;
       148;     740,0;;      3983;      5014;
       149;     745,0;;      3960;      5015;
       150;     750,0;;      3959;      5013;
       151;     755,0;;      3979;      5014;
       152;     760,0;;      3950;      5013;
       153;     765,0;;      3980;      5012;
       154;     770,0;;      3956;      5011;
       155;     775,0;;      3997;      5010;
       156;     780,0;;      4004;      5009;
       157;     785,0;;      4008;      5006;
       158;     790,0;;      4039;      5005;
       159;     795,0;;      4014;      5005;
       160;     800,0;;      3657;      5002;
       161;     805,0;;      2157;      4990;
       162;     810,0;;        90;      4944;
       163;     815,0;;     -1884;      4852;
       164;     820,0;;     -3452;      4703;
       165;     825,0;;     -4473;      4494;
       166;     830,0;;     -5077;      4233;
       167;     835,0;;     -5414;      3929;
       168;     840,0;;     -5624;      3585;
       169;     845,0;;     -5745;      3210;

Paramètre AXE :;CoMax
PID AXE :;KP;KI;KD;KV;KA
Position :;1000;1000;1000;0;0
Vitesse :;1000;1000;;0;0
Courant :;1000;1000
Sécurité
Acc. max.:;100000;rpm/s
Vit. max.:;6000;rpm

