Index;Temps [ms];Courant Moteur [mA];Vitesse Moteur [rpm]
0;0;3238;0
1;8;3237;0
2;16;3237;0
3;24;3237;0
4;32;3237;0
5;40;3237;0
6;48;3237;0
7;56;3237;0
8;64;3237;0
9;72;3237;0
10;80;3237;0
11;88;3237;0
12;96;3237;0
13;104;3237;0
14;112;3237;0
15;120;3238;0
16;128;3237;0
17;136;3254;0
18;144;5428;12
19;152;5616;65
20;160;5856;142
21;168;5728;242
22;176;5455;359
23;184;5574;483
24;192;5914;614
25;200;6038;752
26;208;6138;894
27;216;5887;1043
28;224;5659;1194
29;232;5544;1346
30;240;5583;1498
31;248;5613;1653
32;256;5405;1810
33;264;5236;1967
34;272;5221;2123
35;280;5086;2280
36;288;5120;2435
37;296;3878;2567
38;304;3832;2666
39;312;4006;2739
40;320;4060;2796
41;328;4260;2838
42;336;4042;2875
43;344;3717;2904
44;352;3953;2925
45;360;3750;2942
46;368;3997;2953
47;376;3786;2964
48;384;3834;2972
49;392;4072;2976
50;400;3971;2981
51;408;4289;2983
52;416;4148;2987
53;424;4052;2990
54;432;4415;2991
55;440;4040;2995
56;448;4248;2996
57;456;4266;2998
58;464;4160;2999
59;472;4282;2999
60;480;3970;3001
61;488;3952;3001
62;496;3881;3001
63;504;3559;3003
64;512;4104;3000
65;520;3748;3001
66;528;4066;2999
67;536;3913;3000
68;544;4183;2998
69;552;4403;2997
70;560;4198;2998
71;568;4407;2998
72;576;4230;2999
73;584;4152;3000
74;592;4424;2999
75;600;3978;3002
76;608;4157;3001
77;616;3943;3002
78;624;3871;3002
79;632;4221;3000
80;640;3853;3002
81;648;4124;3001
82;656;3987;3001
83;664;3774;3001
84;672;4341;2999
85;680;4029;3000
86;688;4383;2998
87;696;4198;2999
88;704;4075;3000
89;712;4274;3000
90;720;4090;3001
91;728;3137;2996
92;736;2588;2956
93;744;2613;2885
94;752;2318;2794
95;760;1998;2687
96;768;1659;2570
97;776;1780;2439
98;784;1878;2302
99;792;1894;2160
100;800;1822;2014
101;808;1835;1865
102;816;2113;1712
103;824;2270;1559
104;832;2304;1406
105;840;2524;1249
106;848;2375;1094
107;856;2397;938
108;864;2263;783
109;872;2177;625
110;880;2726;484
111;888;2737;375
112;896;2769;291
113;904;2801;226
114;912;2834;175
115;920;2866;136
116;928;2899;105
117;936;2932;82
118;944;2964;63
119;952;2997;49
120;960;3030;38
121;968;3062;30
122;976;3095;23
123;984;3127;18
124;992;3160;14
125;1000;3192;11
126;1008;3224;8
127;1016;3257;6
128;1024;3290;5
129;1032;3322;4
130;1040;3355;3
131;1048;3389;2
132;1056;3421;2
133;1064;3453;1
134;1072;3486;1
135;1080;3519;1
136;1088;3551;1
137;1096;3584;1
138;1104;3616;0
139;1112;3649;0
140;1120;3681;0
141;1128;3714;0
142;1136;3577;1
143;1144;3675;1
144;1152;3698;1
145;1160;3715;0
146;1168;3731;0
147;1176;3747;0
148;1184;3763;0
149;1192;3657;1
150;1200;3661;1
151;1208;3707;1
152;1216;3710;1
153;1224;3711;0
154;1232;3711;0
155;1240;3711;0
156;1248;3711;0
157;1256;3711;0
158;1264;3711;0
159;1272;3711;0
160;1280;3711;0
161;1288;3711;0
162;1296;3711;0
163;1304;3711;0
164;1312;3711;0
165;1320;3711;0
166;1328;3711;0
167;1336;3711;0
168;1344;3711;0
169;1352;3711;0
